pointid,Project,Block,Point,Year,Date,StartTime,Observer,DOY
ORBBS_602_7,ORBBS,602,7,2012,6/18/2012,8:16,"Handel, Colleen M",170
ORBBS_602_7,ORBBS,602,7,2013,6/20/2013,8:34,"Handel, Colleen M",171
ORBBS_602_7,ORBBS,602,7,2014,6/16/2014,7:24,"Handel, Colleen M",167
ORBBS_602_7,ORBBS,602,7,2016,6/15/2016,6:45,"Pajot, Lisa M",167
ORBBS_602_7,ORBBS,602,7,2018,6/20/2018,7:54,"Handel, Colleen M",171
ORBBS_602_7,ORBBS,602,7,2020,6/17/2020,7:22,"Handel, Colleen M",169
ORBBS_602_7,ORBBS,602,7,1996,6/22/1996,5:49,"Scott, Hustace  H",174
ORBBS_602_7,ORBBS,602,7,1995,6/28/1995,5:52,"deZeeuw, Maureen L",179
ORBBS_602_7,ORBBS,602,7,1994,6/27/1994,6:18,"Handel, Colleen M",178
ORBBS_602_7,ORBBS,602,7,1995,6/15/1995,6:23,"Matsuoka, Steve M",166
ORBBS_602_7,ORBBS,602,7,1999,6/17/1999,6:25,"Matsuoka, Steve M",168
ORBBS_602_7,ORBBS,602,7,1996,6/17/1996,6:32,"Matsuoka, Steve M",169
ORBBS_602_7,ORBBS,602,7,1995,6/2/1995,6:32,"Sotak, Diane L",153
ORBBS_602_7,ORBBS,602,7,1994,5/31/1994,6:44,"Ricketts, Julia C",151
ORBBS_602_7,ORBBS,602,7,1993,6/26/1993,6:45,JDMason,177
ORBBS_602_7,ORBBS,602,7,1996,5/28/1996,6:51,"Matsuoka, Steve M",149
ORBBS_602_7,ORBBS,602,7,1995,5/27/1995,6:51,"Matsuoka, Steve M",147
ORBBS_602_7,ORBBS,602,7,1997,6/22/1997,6:51,"Handel, Colleen M",173
ORBBS_602_7,ORBBS,602,7,1994,6/15/1994,6:52,"Krajcirik, Lisa M",166
ORBBS_602_7,ORBBS,602,7,2000,6/16/2000,6:55,"Handel, Colleen M",168
ORBBS_602_7,ORBBS,602,7,1995,5/22/1995,6:58,"Matsuoka, Steve M",142
ORBBS_602_7,ORBBS,602,7,1993,5/24/1993,7:03,"Matsuoka, Steve M",144
ORBBS_602_7,ORBBS,602,7,1996,6/9/1996,7:06,"Handel, Colleen M",161
ORBBS_602_7,ORBBS,602,7,1994,5/24/1994,7:08,"Handel, Colleen M",144
ORBBS_602_7,ORBBS,602,7,1993,6/17/1993,7:09,"Matsuoka, Steve M",168
ORBBS_602_7,ORBBS,602,7,1998,6/17/1998,7:13,"Handel, Colleen M",168
ORBBS_602_7,ORBBS,602,7,1998,6/17/1998,7:13,"Troyer, Janice K",168
ORBBS_602_7,ORBBS,602,7,1996,5/22/1996,7:14,"Matsuoka, Steve M",143
ORBBS_602_7,ORBBS,602,7,1994,5/9/1994,7:15,"Handel, Colleen M",129
ORBBS_602_7,ORBBS,602,7,1993,6/4/1993,7:15,JDMason,155
ORBBS_602_7,ORBBS,602,7,1996,5/13/1996,7:18,"Matsuoka, Steve M",134
ORBBS_602_7,ORBBS,602,7,1996,5/18/1996,7:18,"Matsuoka, Steve M",139
ORBBS_602_7,ORBBS,602,7,1993,5/28/1993,7:18,"Matsuoka, Steve M",148
ORBBS_602_7,ORBBS,602,7,1996,5/7/1996,7:26,"Matsuoka, Steve M",128
ORBBS_602_7,ORBBS,602,7,1995,5/16/1995,7:26,"Matsuoka, Steve M",136
ORBBS_602_7,ORBBS,602,7,1995,5/11/1995,7:29,"Matsuoka, Steve M",131
ORBBS_602_7,ORBBS,602,7,1995,5/8/1995,7:32,"Matsuoka, Steve M",128
ORBBS_602_7,ORBBS,602,7,1993,5/14/1993,7:43,"Matsuoka, Steve M",134
ORBBS_602_7,ORBBS,602,7,1993,5/20/1993,7:47,"Handel, Colleen M",140
ORBBS_602_7,ORBBS,602,7,1994,5/27/1994,8:03,"Handel, Colleen M",147
ORBBS_602_7,ORBBS,602,7,1993,5/7/1993,8:07,"Matsuoka, Steve M",127
ORBBS_602_7,ORBBS,602,7,1994,5/5/1994,8:09,"Handel, Colleen M",125
ORBBS_602_7,ORBBS,602,7,1994,5/13/1994,8:32,"Handel, Colleen M",133
ORBBS_602_7,ORBBS,602,7,1994,5/17/1994,8:37,"Handel, Colleen M",137
ORBBS_602_9,ORBBS,602,9,2001,6/15/2001,7:04,"Cotter, Paul A",166
ORBBS_602_9,ORBBS,602,9,2002,6/18/2002,6:46,"Cotter, Paul A",169
ORBBS_602_9,ORBBS,602,9,2004,6/16/2004,9:07,"Handel, Colleen M",168
ORBBS_602_9,ORBBS,602,9,2006,6/14/2006,9:34,"Handel, Colleen M",165
ORBBS_602_9,ORBBS,602,9,2008,6/19/2008,9:43,"Handel, Colleen M",171
ORBBS_602_9,ORBBS,602,9,2010,6/14/2010,8:50,"Handel, Colleen M",165
ORBBS_602_9,ORBBS,602,9,2012,6/18/2012,9:19,"Handel, Colleen M",170
ORBBS_602_9,ORBBS,602,9,2013,6/20/2013,9:48,"Handel, Colleen M",171
ORBBS_602_9,ORBBS,602,9,2014,6/16/2014,8:15,"Handel, Colleen M",167
ORBBS_602_9,ORBBS,602,9,2016,6/15/2016,7:31,"Pajot, Lisa M",167
ORBBS_602_9,ORBBS,602,9,2018,6/20/2018,8:51,"Handel, Colleen M",171
ORBBS_602_9,ORBBS,602,9,2020,6/17/2020,8:10,"Handel, Colleen M",169
ORBBS_602_9,ORBBS,602,9,1996,6/22/1996,6:17,"Scott, Hustace  H",174
ORBBS_602_9,ORBBS,602,9,1995,6/28/1995,6:29,"deZeeuw, Maureen L",179
ORBBS_602_9,ORBBS,602,9,1994,6/27/1994,6:51,"Handel, Colleen M",178
ORBBS_602_9,ORBBS,602,9,1995,6/15/1995,6:54,"Matsuoka, Steve M",166
ORBBS_602_9,ORBBS,602,9,1999,6/17/1999,7:02,"Matsuoka, Steve M",168
ORBBS_602_9,ORBBS,602,9,1995,6/2/1995,7:03,"Sotak, Diane L",153
ORBBS_602_9,ORBBS,602,9,1996,6/17/1996,7:14,"Matsuoka, Steve M",169
ORBBS_602_9,ORBBS,602,9,1993,6/26/1993,7:14,JDMason,177
ORBBS_602_9,ORBBS,602,9,1994,5/31/1994,7:18,"Ricketts, Julia C",151
ORBBS_602_9,ORBBS,602,9,1994,6/15/1994,7:22,"Krajcirik, Lisa M",166
ORBBS_602_9,ORBBS,602,9,2000,6/16/2000,7:30,"Handel, Colleen M",168
ORBBS_602_9,ORBBS,602,9,1995,5/22/1995,7:34,"Matsuoka, Steve M",142
ORBBS_602_9,ORBBS,602,9,1995,5/27/1995,7:34,"Matsuoka, Steve M",147
ORBBS_602_9,ORBBS,602,9,1993,5/24/1993,7:37,"Matsuoka, Steve M",144
ORBBS_602_9,ORBBS,602,9,1996,5/28/1996,7:43,"Matsuoka, Steve M",149
ORBBS_602_9,ORBBS,602,9,1994,5/24/1994,7:45,"Handel, Colleen M",144
ORBBS_602_9,ORBBS,602,9,1997,6/22/1997,7:47,"Handel, Colleen M",173
ORBBS_602_9,ORBBS,602,9,1993,6/17/1993,7:49,"Matsuoka, Steve M",168
ORBBS_602_9,ORBBS,602,9,1996,5/22/1996,7:50,"Matsuoka, Steve M",143
ORBBS_602_9,ORBBS,602,9,1996,5/13/1996,7:51,"Matsuoka, Steve M",134
ORBBS_602_9,ORBBS,602,9,1996,5/18/1996,7:52,"Matsuoka, Steve M",139
ORBBS_602_9,ORBBS,602,9,1993,6/4/1993,7:52,JDMason,155
ORBBS_602_9,ORBBS,602,9,1993,5/28/1993,8:00,"Matsuoka, Steve M",148
ORBBS_602_9,ORBBS,602,9,1995,5/16/1995,8:01,"Matsuoka, Steve M",136
ORBBS_602_9,ORBBS,602,9,1996,5/7/1996,8:03,"Matsuoka, Steve M",128
ORBBS_602_9,ORBBS,602,9,1995,5/8/1995,8:03,"Matsuoka, Steve M",128
ORBBS_602_9,ORBBS,602,9,1996,6/9/1996,8:12,"Handel, Colleen M",161
ORBBS_602_9,ORBBS,602,9,1995,5/11/1995,8:15,"Matsuoka, Steve M",131
ORBBS_602_9,ORBBS,602,9,1993,5/14/1993,8:15,"Matsuoka, Steve M",134
ORBBS_602_9,ORBBS,602,9,1998,6/17/1998,8:20,"Handel, Colleen M",168
ORBBS_602_9,ORBBS,602,9,1998,6/17/1998,8:20,"Troyer, Janice K",168
ORBBS_602_9,ORBBS,602,9,1993,5/7/1993,8:42,"Matsuoka, Steve M",127
ORBBS_602_9,ORBBS,602,9,1994,5/27/1994,8:45,"Handel, Colleen M",147
ORBBS_602_9,ORBBS,602,9,1994,5/9/1994,8:47,"Handel, Colleen M",129
ORBBS_602_9,ORBBS,602,9,1993,5/20/1993,8:51,"Handel, Colleen M",140
ORBBS_602_9,ORBBS,602,9,1994,5/5/1994,8:52,"Handel, Colleen M",125
ORBBS_602_9,ORBBS,602,9,1994,5/17/1994,9:12,"Handel, Colleen M",137
ORBBS_602_9,ORBBS,602,9,1994,5/13/1994,9:13,"Handel, Colleen M",133
ORBBS_602_6,ORBBS,602,6,2001,6/15/2001,6:08,"Cotter, Paul A",166
ORBBS_602_6,ORBBS,602,6,2002,6/18/2002,5:55,"Cotter, Paul A",169
ORBBS_602_6,ORBBS,602,6,2004,6/16/2004,7:42,"Handel, Colleen M",168
ORBBS_602_6,ORBBS,602,6,2006,6/14/2006,8:11,"Handel, Colleen M",165
ORBBS_602_6,ORBBS,602,6,2008,6/19/2008,8:02,"Handel, Colleen M",171
ORBBS_602_6,ORBBS,602,6,2010,6/14/2010,7:16,"Handel, Colleen M",165
ORBBS_602_6,ORBBS,602,6,2012,6/18/2012,7:47,"Handel, Colleen M",170
ORBBS_602_6,ORBBS,602,6,2013,6/20/2013,8:03,"Handel, Colleen M",171
ORBBS_602_6,ORBBS,602,6,2014,6/16/2014,7:02,"Handel, Colleen M",167
ORBBS_602_6,ORBBS,602,6,2016,6/15/2016,6:24,"Pajot, Lisa M",167
ORBBS_602_6,ORBBS,602,6,2018,6/20/2018,7:21,"Handel, Colleen M",171
ORBBS_602_6,ORBBS,602,6,2020,6/17/2020,7:01,"Handel, Colleen M",169
ORBBS_602_6,ORBBS,602,6,1995,6/28/1995,5:31,"deZeeuw, Maureen L",179
ORBBS_602_6,ORBBS,602,6,1996,6/22/1996,5:35,"Scott, Hustace  H",174
ORBBS_602_6,ORBBS,602,6,1994,6/27/1994,5:53,"Handel, Colleen M",178
ORBBS_602_6,ORBBS,602,6,1994,6/15/1994,5:58,"Krajcirik, Lisa M",166
ORBBS_602_6,ORBBS,602,6,1995,6/15/1995,6:07,"Matsuoka, Steve M",166
ORBBS_602_6,ORBBS,602,6,1999,6/17/1999,6:11,"Matsuoka, Steve M",168
ORBBS_602_6,ORBBS,602,6,1996,6/17/1996,6:14,"Matsuoka, Steve M",169
ORBBS_602_6,ORBBS,602,6,1995,6/2/1995,6:15,"Sotak, Diane L",153
ORBBS_602_6,ORBBS,602,6,1997,6/22/1997,6:20,"Handel, Colleen M",173
ORBBS_602_6,ORBBS,602,6,1994,5/31/1994,6:23,"Ricketts, Julia C",151
ORBBS_602_6,ORBBS,602,6,1996,5/28/1996,6:24,"Matsuoka, Steve M",149
ORBBS_602_6,ORBBS,602,6,1993,6/26/1993,6:27,JDMason,177
ORBBS_602_6,ORBBS,602,6,2000,6/16/2000,6:33,"Handel, Colleen M",168
ORBBS_602_6,ORBBS,602,6,1995,5/27/1995,6:37,"Matsuoka, Steve M",147
ORBBS_602_6,ORBBS,602,6,1996,6/9/1996,6:41,"Handel, Colleen M",161
ORBBS_602_6,ORBBS,602,6,1995,5/22/1995,6:42,"Matsuoka, Steve M",142
ORBBS_602_6,ORBBS,602,6,1994,5/24/1994,6:44,"Handel, Colleen M",144
ORBBS_602_6,ORBBS,602,6,1993,5/24/1993,6:45,"Matsuoka, Steve M",144
ORBBS_602_6,ORBBS,602,6,1996,5/22/1996,6:46,"Matsuoka, Steve M",143
ORBBS_602_6,ORBBS,602,6,1998,6/17/1998,6:47,"Handel, Colleen M",168
ORBBS_602_6,ORBBS,602,6,1998,6/17/1998,6:47,"Troyer, Janice K",168
ORBBS_602_6,ORBBS,602,6,1993,6/17/1993,6:48,"Matsuoka, Steve M",168
ORBBS_602_6,ORBBS,602,6,1993,6/4/1993,6:50,JDMason,155
ORBBS_602_6,ORBBS,602,6,1996,5/18/1996,6:56,"Matsuoka, Steve M",139
ORBBS_602_6,ORBBS,602,6,1993,5/28/1993,6:56,"Matsuoka, Steve M",148
ORBBS_602_6,ORBBS,602,6,1994,5/9/1994,6:58,"Handel, Colleen M",129
ORBBS_602_6,ORBBS,602,6,1996,5/13/1996,7:02,"Matsuoka, Steve M",134
ORBBS_602_6,ORBBS,602,6,1996,5/7/1996,7:06,"Matsuoka, Steve M",128
ORBBS_602_6,ORBBS,602,6,1995,5/16/1995,7:09,"Matsuoka, Steve M",136
ORBBS_602_6,ORBBS,602,6,1995,5/8/1995,7:12,"Matsuoka, Steve M",128
ORBBS_602_6,ORBBS,602,6,1994,5/27/1994,7:14,"Handel, Colleen M",147
ORBBS_602_6,ORBBS,602,6,1995,5/11/1995,7:14,"Matsuoka, Steve M",131
ORBBS_602_6,ORBBS,602,6,1993,5/14/1993,7:21,"Matsuoka, Steve M",134
ORBBS_602_6,ORBBS,602,6,1993,5/20/1993,7:26,"Handel, Colleen M",140
ORBBS_602_6,ORBBS,602,6,1994,5/5/1994,7:43,"Handel, Colleen M",125
ORBBS_602_6,ORBBS,602,6,1993,5/7/1993,7:45,"Matsuoka, Steve M",127
ORBBS_602_6,ORBBS,602,6,1994,5/17/1994,7:50,"Handel, Colleen M",137
ORBBS_602_6,ORBBS,602,6,1994,5/13/1994,8:03,"Handel, Colleen M",133
ORBBS_602_10,ORBBS,602,10,2001,6/15/2001,7:21,"Cotter, Paul A",166
ORBBS_602_10,ORBBS,602,10,2002,6/18/2002,7:01,"Cotter, Paul A",169
ORBBS_602_10,ORBBS,602,10,2004,6/16/2004,9:29,"Handel, Colleen M",168
ORBBS_602_10,ORBBS,602,10,2006,6/14/2006,10:01,"Handel, Colleen M",165
ORBBS_602_10,ORBBS,602,10,2008,6/19/2008,10:06,"Handel, Colleen M",171
ORBBS_602_10,ORBBS,602,10,2010,6/14/2010,9:11,"Handel, Colleen M",165
ORBBS_602_10,ORBBS,602,10,2012,6/18/2012,9:41,"Handel, Colleen M",170
ORBBS_602_10,ORBBS,602,10,2013,6/20/2013,10:13,"Handel, Colleen M",171
ORBBS_602_10,ORBBS,602,10,2014,6/16/2014,8:43,"Handel, Colleen M",167
ORBBS_602_10,ORBBS,602,10,2016,6/15/2016,7:48,"Pajot, Lisa M",167
ORBBS_602_10,ORBBS,602,10,2018,6/20/2018,9:15,"Handel, Colleen M",171
ORBBS_602_10,ORBBS,602,10,2020,6/17/2020,8:34,"Handel, Colleen M",169
ORBBS_602_10,ORBBS,602,10,1996,6/22/1996,6:28,"Scott, Hustace  H",174
ORBBS_602_10,ORBBS,602,10,1995,6/28/1995,6:41,"deZeeuw, Maureen L",179
ORBBS_602_10,ORBBS,602,10,1994,6/27/1994,7:05,"Handel, Colleen M",178
ORBBS_602_10,ORBBS,602,10,1995,6/15/1995,7:09,"Matsuoka, Steve M",166
ORBBS_602_10,ORBBS,602,10,1995,6/2/1995,7:14,"Sotak, Diane L",153
ORBBS_602_10,ORBBS,602,10,1999,6/17/1999,7:18,"Matsuoka, Steve M",168
ORBBS_602_10,ORBBS,602,10,1993,6/26/1993,7:28,JDMason,177
ORBBS_602_10,ORBBS,602,10,1996,6/17/1996,7:30,"Matsuoka, Steve M",169
ORBBS_602_10,ORBBS,602,10,1994,5/31/1994,7:32,"Ricketts, Julia C",151
ORBBS_602_10,ORBBS,602,10,1994,6/15/1994,7:38,"Krajcirik, Lisa M",166
ORBBS_602_10,ORBBS,602,10,2000,6/16/2000,7:47,"Handel, Colleen M",168
ORBBS_602_10,ORBBS,602,10,1995,5/22/1995,7:48,"Matsuoka, Steve M",142
ORBBS_602_10,ORBBS,602,10,1995,5/27/1995,7:48,"Matsuoka, Steve M",147
ORBBS_602_10,ORBBS,602,10,1993,5/24/1993,7:53,"Matsuoka, Steve M",144
ORBBS_602_10,ORBBS,602,10,1996,5/28/1996,7:58,"Matsuoka, Steve M",149
ORBBS_602_10,ORBBS,602,10,1994,5/24/1994,7:59,"Handel, Colleen M",144
ORBBS_602_10,ORBBS,602,10,1996,5/22/1996,8:03,"Matsuoka, Steve M",143
ORBBS_602_10,ORBBS,602,10,1997,6/22/1997,8:06,"Handel, Colleen M",173
ORBBS_602_10,ORBBS,602,10,1993,6/4/1993,8:07,JDMason,155
ORBBS_602_10,ORBBS,602,10,1996,5/13/1996,8:08,"Matsuoka, Steve M",134
ORBBS_602_10,ORBBS,602,10,1996,5/18/1996,8:08,"Matsuoka, Steve M",139
ORBBS_602_10,ORBBS,602,10,1993,6/17/1993,8:10,"Matsuoka, Steve M",168
ORBBS_602_10,ORBBS,602,10,1995,5/16/1995,8:15,"Matsuoka, Steve M",136
ORBBS_602_10,ORBBS,602,10,1993,5/28/1993,8:16,"Matsuoka, Steve M",148
ORBBS_602_10,ORBBS,602,10,1996,5/7/1996,8:17,"Matsuoka, Steve M",128
ORBBS_602_10,ORBBS,602,10,1995,5/8/1995,8:19,"Matsuoka, Steve M",128
ORBBS_602_10,ORBBS,602,10,1996,6/9/1996,8:27,"Handel, Colleen M",161
ORBBS_602_10,ORBBS,602,10,1995,5/11/1995,8:29,"Matsuoka, Steve M",131
ORBBS_602_10,ORBBS,602,10,1993,5/14/1993,8:30,"Matsuoka, Steve M",134
ORBBS_602_10,ORBBS,602,10,1998,6/17/1998,8:47,"Handel, Colleen M",168
ORBBS_602_10,ORBBS,602,10,1998,6/17/1998,8:47,"Troyer, Janice K",168
ORBBS_602_10,ORBBS,602,10,1993,5/7/1993,8:56,"Matsuoka, Steve M",127
ORBBS_602_10,ORBBS,602,10,1994,5/27/1994,9:00,"Handel, Colleen M",147
ORBBS_602_10,ORBBS,602,10,1994,5/9/1994,9:04,"Handel, Colleen M",129
ORBBS_602_10,ORBBS,602,10,1994,5/5/1994,9:08,"Handel, Colleen M",125
ORBBS_602_10,ORBBS,602,10,1993,5/20/1993,9:13,"Handel, Colleen M",140
ORBBS_602_10,ORBBS,602,10,1994,5/13/1994,9:26,"Handel, Colleen M",133
ORBBS_602_10,ORBBS,602,10,1994,5/17/1994,9:26,"Handel, Colleen M",137
ORBBS_602_5,ORBBS,602,5,2001,6/15/2001,5:53,"Cotter, Paul A",166
ORBBS_602_5,ORBBS,602,5,2002,6/18/2002,5:41,"Cotter, Paul A",169
ORBBS_602_5,ORBBS,602,5,2004,6/16/2004,7:18,"Handel, Colleen M",168
ORBBS_602_5,ORBBS,602,5,2006,6/14/2006,7:46,"Handel, Colleen M",165
ORBBS_602_5,ORBBS,602,5,2008,6/19/2008,7:23,"Handel, Colleen M",171
ORBBS_602_5,ORBBS,602,5,2010,6/14/2010,6:40,"Handel, Colleen M",165
ORBBS_602_5,ORBBS,602,5,2012,6/18/2012,7:20,"Handel, Colleen M",170
ORBBS_602_5,ORBBS,602,5,2013,6/20/2013,7:40,"Handel, Colleen M",171
ORBBS_602_5,ORBBS,602,5,2014,6/16/2014,6:37,"Handel, Colleen M",167
ORBBS_602_5,ORBBS,602,5,2016,6/15/2016,6:05,"Pajot, Lisa M",167
ORBBS_602_5,ORBBS,602,5,2018,6/20/2018,6:49,"Handel, Colleen M",171
ORBBS_602_5,ORBBS,602,5,2020,6/17/2020,6:40,"Handel, Colleen M",169
ORBBS_602_5,ORBBS,602,5,1996,6/22/1996,5:20,"Scott, Hustace  H",174
ORBBS_602_5,ORBBS,602,5,1995,6/28/1995,5:21,"deZeeuw, Maureen L",179
ORBBS_602_5,ORBBS,602,5,1994,6/27/1994,5:41,"Handel, Colleen M",178
ORBBS_602_5,ORBBS,602,5,1994,6/15/1994,5:41,"Krajcirik, Lisa M",166
ORBBS_602_5,ORBBS,602,5,1996,6/17/1996,5:51,"Matsuoka, Steve M",169
ORBBS_602_5,ORBBS,602,5,1995,6/15/1995,5:52,"Matsuoka, Steve M",166
ORBBS_602_5,ORBBS,602,5,1999,6/17/1999,5:54,"Matsuoka, Steve M",168
ORBBS_602_5,ORBBS,602,5,1994,5/31/1994,5:59,"Ricketts, Julia C",151
ORBBS_602_5,ORBBS,602,5,1995,6/2/1995,6:00,"Sotak, Diane L",153
ORBBS_602_5,ORBBS,602,5,1997,6/22/1997,6:02,"Handel, Colleen M",173
ORBBS_602_5,ORBBS,602,5,1996,5/28/1996,6:09,"Matsuoka, Steve M",149
ORBBS_602_5,ORBBS,602,5,2000,6/16/2000,6:12,"Handel, Colleen M",168
ORBBS_602_5,ORBBS,602,5,1993,6/26/1993,6:13,JDMason,177
ORBBS_602_5,ORBBS,602,5,1995,5/27/1995,6:20,"Matsuoka, Steve M",147
ORBBS_602_5,ORBBS,602,5,1998,6/17/1998,6:21,"Handel, Colleen M",168
ORBBS_602_5,ORBBS,602,5,1998,6/17/1998,6:21,"Troyer, Janice K",168
ORBBS_602_5,ORBBS,602,5,1993,5/24/1993,6:21,"Matsuoka, Steve M",144
ORBBS_602_5,ORBBS,602,5,1993,6/17/1993,6:22,"Matsuoka, Steve M",168
ORBBS_602_5,ORBBS,602,5,1994,5/24/1994,6:25,"Handel, Colleen M",144
ORBBS_602_5,ORBBS,602,5,1996,6/9/1996,6:26,"Handel, Colleen M",161
ORBBS_602_5,ORBBS,602,5,1995,5/22/1995,6:27,"Matsuoka, Steve M",142
ORBBS_602_5,ORBBS,602,5,1996,5/22/1996,6:30,"Matsuoka, Steve M",143
ORBBS_602_5,ORBBS,602,5,1993,6/4/1993,6:30,JDMason,155
ORBBS_602_5,ORBBS,602,5,1995,5/16/1995,6:34,"Matsuoka, Steve M",136
ORBBS_602_5,ORBBS,602,5,1993,5/28/1993,6:34,"Matsuoka, Steve M",148
ORBBS_602_5,ORBBS,602,5,1996,5/18/1996,6:35,"Matsuoka, Steve M",139
ORBBS_602_5,ORBBS,602,5,1994,5/27/1994,6:43,"Handel, Colleen M",147
ORBBS_602_5,ORBBS,602,5,1996,5/13/1996,6:44,"Matsuoka, Steve M",134
ORBBS_602_5,ORBBS,602,5,1995,5/8/1995,6:44,"Matsuoka, Steve M",128
ORBBS_602_5,ORBBS,602,5,1994,5/9/1994,6:44,"Handel, Colleen M",129
