band_number,year_banded,2018,2019,2020,2021,2022,2023,2024,2025,2026
dguldgll2,2020,NA,NA,1,0,0,0,0,0,0
122275087,2020,NA,NA,1,0,0,0,0,0,0
122275088,2020,NA,NA,1,0,0,0,0,0,0
122275089,2020,NA,NA,1,0,0,0,0,0,0
122275090,2020,NA,NA,1,0,0,0,0,0,0
122275093,2020,NA,NA,1,0,0,0,0,0,0
122275094,2020,NA,NA,1,0,0,0,0,0,0
122275095,2020,NA,NA,1,0,0,0,0,0,0
122275010,2020,NA,NA,1,0,0,0,0,0,0
122275097,2020,NA,NA,1,0,0,0,0,0,0
122275098,2020,NA,NA,1,0,0,0,0,0,0
129231996,2020,NA,NA,1,0,0,0,0,0,0
129267697,2020,NA,NA,1,0,0,0,0,0,0
122275019,2020,NA,NA,1,0,0,0,0,0,0
122275020,2020,NA,NA,1,0,0,0,0,0,0
122275021,2021,NA,NA,NA,1,0,0,0,0,0
122275022,2021,NA,NA,NA,1,0,0,0,0,0
122275023,2021,NA,NA,NA,1,0,0,0,0,0
122275024,2021,NA,NA,NA,1,0,0,0,0,0
122275026,2021,NA,NA,NA,1,0,0,0,0,0
122275028,2021,NA,NA,NA,1,0,0,0,0,0
122275029,2021,NA,NA,NA,1,0,0,0,0,0
129232146,2021,NA,NA,NA,1,0,0,0,0,0
129232147,2021,NA,NA,NA,1,0,0,0,0,0
129232025,2022,NA,NA,NA,NA,1,0,0,0,0
129231961,2022,NA,NA,NA,NA,1,0,0,0,0
129232027,2023,NA,NA,NA,NA,NA,1,0,0,0
129232031,2023,NA,NA,NA,NA,NA,1,0,0,0
129232050,2023,NA,NA,NA,NA,NA,1,0,0,0
129232051,2023,NA,NA,NA,NA,NA,1,0,0,0
129232054,2023,NA,NA,NA,NA,NA,1,1,1,1
129232055,2023,NA,NA,NA,NA,NA,1,0,0,0
129232056,2023,NA,NA,NA,NA,NA,1,0,0,0
129232057,2023,NA,NA,NA,NA,NA,1,0,0,0
129232159,2023,NA,NA,NA,NA,NA,1,0,0,0
142220946,2023,NA,NA,NA,NA,NA,1,0,0,0
142220948,2023,NA,NA,NA,NA,NA,1,0,0,0
142221008,2024,NA,NA,NA,NA,NA,NA,1,0,0
142221011,2025,NA,NA,NA,NA,NA,NA,NA,1,1
142221012,2025,NA,NA,NA,NA,NA,NA,NA,1,0
142221004,2025,NA,NA,NA,NA,NA,NA,NA,1,0
142220944,2025,NA,NA,NA,NA,NA,NA,NA,1,0
142221018,2025,NA,NA,NA,NA,NA,NA,NA,1,0
