chick_resight_number,year_banded,band_number,2018,2019,2020,2021,2022,2023,2024,2025,2026
NA,2019,122274439,NA,1,0,0,0,0,0,0,0
NA,2019,122274418,NA,1,0,0,0,0,0,0,0
NA,2019,123233900,NA,1,0,0,0,0,0,0,0
NA,2019,129231921,NA,1,0,0,0,0,0,0,0
NA,2019,122274420,NA,1,0,0,0,0,0,0,0
NA,2019,122274421,NA,1,0,0,0,0,0,0,0
NA,2019,129231901,NA,1,0,0,0,0,0,0,0
NA,2019,122274438,NA,1,0,0,0,0,0,0,0
NA,2020,122275047,NA,NA,1,0,0,0,0,0,0
NA,2020,122275048,NA,NA,1,0,0,0,0,0,0
NA,2020,122275049,NA,NA,1,0,0,0,0,0,0
NA,2020,122275050,NA,NA,1,0,0,0,0,0,0
NA,2020,122275053,NA,NA,1,0,0,0,0,0,0
NA,2020,122275054,NA,NA,1,0,0,0,0,0,0
NA,2020,122275055,NA,NA,1,0,0,0,0,0,0
NA,2020,122275056,NA,NA,1,0,0,0,0,0,0
NA,2020,122275059,NA,NA,1,0,0,0,0,0,0
NA,2020,122275060,NA,NA,1,0,0,0,0,0,0
NA,2020,122275061,NA,NA,1,0,0,0,0,0,0
NA,2020,122275062,NA,NA,1,0,0,0,0,0,0
NA,2020,122275064,NA,NA,1,0,0,0,0,0,0
NA,2020,122275065,NA,NA,1,0,0,0,0,0,0
NA,2020,122275067,NA,NA,1,0,0,0,0,0,0
NA,2020,122275068,NA,NA,1,0,0,0,0,0,0
NA,2020,122275069,NA,NA,1,0,0,0,0,0,0
NA,2020,122275070,NA,NA,1,0,0,0,0,0,0
NA,2020,122275077,NA,NA,1,0,0,0,0,0,0
3,2020,129231908,NA,NA,1,0,0,1,0,0,0
NA,2020,122275031,NA,NA,1,0,0,0,0,0,0
NA,2020,122275033,NA,NA,1,0,0,0,0,0,0
NA,2020,122275034,NA,NA,1,0,0,0,0,0,0
NA,2020,122275035,NA,NA,1,0,0,0,0,0,0
NA,2020,122275036,NA,NA,1,0,0,0,0,0,0
NA,2020,122275039,NA,NA,1,0,0,0,0,0,0
NA,2020,122275040,NA,NA,1,0,0,0,0,0,0
NA,2020,122275041,NA,NA,1,0,0,0,0,0,0
NA,2020,122275007,NA,NA,1,0,0,0,0,0,0
NA,2020,122275008,NA,NA,1,0,0,0,0,0,0
NA,2020,122275009,NA,NA,1,0,0,0,0,0,0
NA,2020,122275012,NA,NA,1,0,0,0,0,0,0
NA,2020,122275015,NA,NA,1,0,0,0,0,0,0
NA,2020,122275016,NA,NA,1,0,0,0,0,0,0
NA,2020,122275017,NA,NA,1,0,0,0,0,0,0
NA,2020,122275018,NA,NA,1,0,0,0,0,0,0
NA,2020,122275043,NA,NA,1,0,0,0,0,0,0
NA,2020,122275044,NA,NA,1,0,0,0,0,0,0
NA,2020,dguldgll1,NA,NA,1,0,0,0,0,0,0
NA,2020,dguldgll2,NA,NA,1,0,0,0,0,0,0
NA,2020,122275087,NA,NA,1,0,0,0,0,0,0
NA,2020,122275088,NA,NA,1,0,0,0,0,0,0
NA,2020,122275089,NA,NA,1,0,0,0,0,0,0
NA,2020,122275090,NA,NA,1,0,0,0,0,0,0
NA,2020,122275093,NA,NA,1,0,0,0,0,0,0
NA,2020,122275094,NA,NA,1,0,0,0,0,0,0
NA,2020,122275095,NA,NA,1,0,0,0,0,0,0
NA,2020,122275010,NA,NA,1,0,0,0,0,0,0
NA,2020,122275097,NA,NA,1,0,0,0,0,0,0
NA,2020,122275098,NA,NA,1,0,0,0,0,0,0
NA,2020,129231996,NA,NA,1,0,0,0,0,0,0
NA,2020,129267697,NA,NA,1,0,0,0,0,0,0
NA,2020,122275019,NA,NA,1,0,0,0,0,0,0
NA,2020,122275020,NA,NA,1,0,0,0,0,0,0
NA,2021,122275021,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275022,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275023,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275024,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275026,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275028,NA,NA,NA,1,0,0,0,0,0
NA,2021,122275029,NA,NA,NA,1,0,0,0,0,0
NA,2021,129232146,NA,NA,NA,1,0,0,0,0,0
NA,2021,129232147,NA,NA,NA,1,0,0,0,0,0
NA,2022,129232025,NA,NA,NA,NA,1,0,0,0,0
NA,2022,129231961,NA,NA,NA,NA,1,0,0,0,0
NA,2023,129232027,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232031,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232050,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232051,NA,NA,NA,NA,NA,1,0,0,0
4,2023,129232054,NA,NA,NA,NA,NA,1,1,0,1
NA,2023,129232055,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232056,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232057,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,129232159,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,142220946,NA,NA,NA,NA,NA,1,0,0,0
NA,2023,142220948,NA,NA,NA,NA,NA,1,0,0,0
NA,2024,142221008,NA,NA,NA,NA,NA,NA,1,0,0
5,2025,142221011,NA,NA,NA,NA,NA,NA,NA,1,1
NA,2025,142221012,NA,NA,NA,NA,NA,NA,NA,1,0
NA,2025,142221004,NA,NA,NA,NA,NA,NA,NA,1,0
NA,2025,142220944,NA,NA,NA,NA,NA,NA,NA,1,0
NA,2025,142221018,NA,NA,NA,NA,NA,NA,NA,1,0
