year,wetland,week,et,ed,wc,wa,wt,wh,wu,count
2015,10,2,88,1.07,17.05,151721,3,1,1,0
2015,10,3,88,1.07,17.05,151721,3,1,1,6
2015,12,1,42,0.55,4.84,21934,3,2,1,0
2015,12,2,42,0.55,4.84,21934,3,2,1,0
2015,12,3,42,0.55,4.84,21934,3,2,1,0
2015,15,1,34,0.26,1.11,22673,1,2,2,16
2015,15,2,34,0.26,1.11,22673,1,2,2,18
2015,15,3,34,0.26,1.11,22673,1,2,2,20
2015,20,1,54,0.15,0.28,419687,3,1,2,3
2015,20,2,54,0.15,0.28,419687,3,1,2,4
2015,20,3,54,0.15,0.28,419687,3,1,2,1
2015,23,1,46,0.81,11.35,112178,1,2,1,2
2015,23,2,46,0.81,11.35,112178,1,2,1,0
2015,24,1,40,0,0.06,531330,3,2,1,2
2015,24,2,40,0,0.06,531330,3,2,1,0
2015,24,3,40,0,0.06,531330,3,2,1,0
2015,25,1,57,0.71,0.41,144948,2,2,1,4
2015,25,2,57,0.71,0.41,144948,2,2,1,7
2015,25,3,57,0.71,0.41,144948,2,2,1,6
2015,28,2,38,0.61,5.22,61631,1,1,1,0
2015,28,3,38,0.61,5.22,61631,1,1,1,0
2015,29,1,47,0.53,0.35,402799,2,1,1,0
2015,29,2,47,0.53,0.35,402799,2,1,1,0
2015,29,3,47,0.53,0.35,402799,2,1,1,0
2015,31,1,56,0.38,5.48,16906,1,2,1,0
2015,31,2,56,0.38,5.48,16906,1,2,1,0
2015,31,3,56,0.38,5.48,16906,1,2,1,0
2015,32,1,29,0.55,0.64,279255,1,2,2,3
2015,32,2,29,0.55,0.64,279255,1,2,2,2
2015,32,3,29,0.55,0.64,279255,1,2,2,1
2016,1,1,47,0.5,10.08,127613,3,2,2,6
2016,1,2,47,0.5,10.08,127613,3,2,2,6
2016,1,3,47,0.5,10.08,127613,3,2,2,1
2016,3,1,31,0,10.93,131907,3,2,1,0
2016,3,2,31,0,10.93,131907,3,2,1,0
2016,3,3,31,0,10.93,131907,3,2,1,0
2016,4,1,30,0.061,4.98,78864,3,1,1,0
2016,4,2,30,0.061,4.98,78864,3,1,1,0
2016,4,3,30,0.061,4.98,78864,3,1,1,0
2016,5,1,29,0.1,0.26,43107,2,2,1,0
2016,5,2,29,0.1,0.26,43107,2,2,1,1
2016,5,3,29,0.1,0.26,43107,2,2,1,2
2016,8,1,40,0.35,4.24,134394,1,2,2,0
2016,8,2,40,0.35,4.24,134394,1,2,2,0
2016,8,3,40,0.35,4.24,134394,1,2,2,0
2016,10,2,88,1.07,17.05,151721,3,1,1,2
2016,10,3,88,1.07,17.05,151721,3,1,1,0
2016,11,1,28,0.12,2.28,14454,1,2,2,0
2016,11,2,28,0.12,2.28,14454,1,2,2,0
2016,11,3,28,0.12,2.28,14454,1,2,2,0
2016,12,1,42,0.55,4.84,21934,3,2,1,0
2016,12,2,42,0.55,4.84,21934,3,2,1,0
2016,13,1,31,0,1.38,75577,1,2,1,2
2016,13,2,31,0,1.38,75577,1,2,1,1
2016,13,3,31,0,1.38,75577,1,2,1,0
2016,15,1,34,0.26,1.11,22673,1,2,2,6
2016,15,2,34,0.26,1.11,22673,1,2,2,8
2016,15,3,34,0.26,1.11,22673,1,2,2,0
2016,20,1,54,0.15,0.28,419687,3,1,2,0
2016,20,2,54,0.15,0.28,419687,3,1,2,0
2016,20,3,54,0.15,0.28,419687,3,1,2,0
2016,23,2,46,0.81,11.35,112178,1,2,1,3
2016,23,3,46,0.81,11.35,112178,1,2,1,0
2016,25,1,57,0.71,0.41,144948,2,2,1,2
2016,25,2,57,0.71,0.41,144948,2,2,1,0
2016,25,3,57,0.71,0.41,144948,2,2,1,2
2016,28,1,38,0.61,5.22,61631,1,1,1,0
2016,28,2,38,0.61,5.22,61631,1,1,1,0
2016,28,3,38,0.61,5.22,61631,1,1,1,0
2016,29,1,47,0.53,0.35,402799,2,1,1,2
2016,29,2,47,0.53,0.35,402799,2,1,1,2
2016,30,1,41,0,3.56,136032,1,2,2,1
2016,30,2,41,0,3.56,136032,1,2,2,0
2016,30,3,41,0,3.56,136032,1,2,2,0
2016,31,1,56,0.38,5.48,16906,1,2,1,3
2016,31,2,56,0.38,5.48,16906,1,2,1,1
2016,31,3,56,0.38,5.48,16906,1,2,1,0
2016,32,1,29,0.55,0.64,279255,1,2,2,2
2016,32,2,29,0.55,0.64,279255,1,2,2,4
2016,32,3,29,0.55,0.64,279255,1,2,2,5
2017,1,1,15,0.5,10.08,127613,3,2,2,1
2017,1,2,15,0.5,10.08,127613,3,2,2,1
2017,1,3,15,0.5,10.08,127613,3,2,2,5
2017,2,1,20,0.5,0.54,39446,1,2,1,0
2017,2,2,40,0.5,0.54,39446,1,2,1,3
2017,2,3,50,0.5,0.54,39446,1,2,1,3
2017,3,1,25,0,10.93,131907,3,2,1,0
2017,3,2,15,0,10.93,131907,3,2,1,0
2017,3,3,15,0,10.93,131907,3,2,1,0
2017,4,1,29,0.061,4.98,78864,3,1,1,0
2017,4,2,23,0.061,4.98,78864,3,1,1,2
2017,4,3,27,0.061,4.98,78864,3,1,1,0
2017,5,1,35,0.1,0.26,43107,2,2,1,0
2017,5,2,30,0.1,0.26,43107,2,2,1,1
2017,5,3,25,0.1,0.26,43107,2,2,1,0
2017,6,1,45,0.03,9.7,6097,1,2,2,0
2017,6,2,92,0.03,9.7,6097,1,2,2,0
2017,6,3,175,0.03,9.7,6097,1,2,2,0
2017,8,1,50,0.35,4.24,134394,1,2,2,1
2017,8,2,45,0.35,4.24,134394,1,2,2,0
2017,8,3,36,0.35,4.24,134394,1,2,2,0
2017,10,1,40,1.07,17.05,151721,3,1,1,0
2017,10,2,20,1.07,17.05,151721,3,1,1,0
2017,10,3,115,1.07,17.05,151721,3,1,1,0
2017,11,1,20,0.12,2.28,14454,1,2,2,0
2017,11,2,25,0.12,2.28,14454,1,2,2,1
2017,11,3,15,0.12,2.28,14454,1,2,2,0
2017,12,1,80,0.83,4.84,21934,3,2,1,0
2017,12,2,87,0.83,4.84,21934,3,2,1,0
2017,12,3,31,0.83,4.84,21934,3,2,1,0
2017,13,1,21,0,1.38,75577,1,2,1,0
2017,13,2,22,0,1.38,75577,1,2,1,0
2017,13,3,15,0,1.38,75577,1,2,1,0
2017,14,1,62,0.17,1.2,211733,3,2,2,1
2017,14,2,63,0.17,1.2,211733,3,2,2,0
2017,14,3,79,0.17,1.2,211733,3,2,2,4
2017,15,1,30,0.26,1.11,22673,1,2,2,1
2017,15,2,30,0.26,1.11,22673,1,2,2,1
2017,15,3,30,0.26,1.11,22673,1,2,2,0
2017,17,1,75,0,1.18,341580,1,2,1,4
2017,17,2,105,0,1.18,341580,1,2,1,2
2017,17,3,90,0,1.18,341580,1,2,1,3
2017,18,1,30,0,30.72,25054,3,2,2,1
2017,18,2,50,0,30.72,25054,3,2,2,0
2017,18,3,30,0,30.72,25054,3,2,2,0
2017,20,1,78,0.15,0.28,419687,3,1,2,0
2017,20,2,81,0.15,0.28,419687,3,1,2,0
2017,22,1,87,0.67,4.05,232936,2,1,1,0
2017,22,2,80,0.67,4.05,232936,2,1,1,7
2017,22,3,81,0.67,4.05,232936,2,1,1,2
2017,23,1,50,1.05,11.35,112178,1,2,1,1
2017,23,2,50,1.05,11.35,112178,1,2,1,0
2017,23,3,60,1.05,11.35,112178,1,2,1,1
2017,24,1,49,0,0.06,531330,3,2,1,0
2017,24,2,55,0,0.06,531330,3,2,1,4
2017,24,3,55,0,0.06,531330,3,2,1,0
2017,25,1,40,0.69,0.41,144948,2,2,1,0
2017,25,2,45,0.69,0.41,144948,2,2,1,0
2017,25,3,40,0.69,0.41,144948,2,2,1,0
2017,27,1,120,0.5,2.27,352407,1,2,2,0
2017,27,2,120,0.5,2.27,352407,1,2,2,0
2017,27,3,120,0.5,2.27,352407,1,2,2,0
2017,28,1,30,0.61,5.22,61631,1,1,1,0
2017,28,2,30,0.61,5.22,61631,1,1,1,0
2017,29,1,40,0.53,0.35,402799,2,1,1,2
2017,29,2,60,0.53,0.35,402799,2,1,1,1
2017,29,3,30,0.53,0.35,402799,2,1,1,1
2017,30,1,45,0,3.56,136032,1,2,2,0
2017,30,2,45,0,3.56,136032,1,2,2,0
2017,30,3,45,0,3.56,136032,1,2,2,0
2017,31,1,44,0.5,5.48,16906,1,2,1,0
2017,31,2,62,0.5,5.48,16906,1,2,1,0
2017,31,3,78,0.2,5.48,16906,1,2,1,0
2017,32,1,70,0.55,0.64,279255,1,2,2,3
2017,32,2,45,0.55,0.64,279255,1,2,2,1
2017,32,3,20,0.55,0.64,279255,1,2,2,0
2018,1,1,50,0.5,10.08,127613,3,2,2,2
2018,1,2,40,0.5,10.08,127613,3,2,2,0
2018,2,1,28,0.43,0.54,39446,1,2,1,0
2018,2,2,35,0.7,0.54,39446,1,2,1,1
2018,2,3,20,0.365,0.54,39446,1,2,1,0
2018,3,1,20,0,10.93,131907,3,2,1,0
2018,3,2,30,0,10.93,131907,3,2,1,0
2018,3,3,30,0,10.93,131907,3,2,1,0
2018,4,1,30,0.5,4.98,78864,3,1,1,0
2018,4,2,32,0.5,4.98,78864,3,1,1,1
2018,4,3,41,0,4.98,78864,3,1,1,0
2018,5,1,60,0,0.26,43107,2,2,1,0
2018,5,2,75,0,0.26,43107,2,2,1,1
2018,5,3,75,0.5,0.26,43107,2,2,1,1
2018,6,2,65,0,9.7,6097,1,2,2,0
2018,6,3,65,0,9.7,6097,1,2,2,0
2018,8,1,55,1,4.24,134394,1,2,2,0
2018,8,3,38,0.75,4.24,134394,1,2,2,0
2018,10,1,150,1.14,17.05,151721,3,1,1,0
2018,10,2,140,1.3,17.05,151721,3,1,1,0
2018,10,3,80,1.3,17.05,151721,3,1,1,2
2018,11,1,24,0.5,2.28,14454,1,2,2,0
2018,11,2,20,0.23,2.28,14454,1,2,2,0
2018,11,3,22,0.25,2.28,14454,1,2,2,0
2018,12,1,43,1,4.84,21934,3,2,1,0
2018,12,2,37,0.5,4.84,21934,3,2,1,0
2018,12,3,40,1,4.84,21934,3,2,1,0
2018,13,1,20,0,1.38,75577,1,2,1,0
2018,13,2,20,0,1.38,75577,1,2,1,1
2018,13,3,20,0,1.38,75577,1,2,1,0
2018,14,1,43,0,1.2,211733,3,2,2,1
2018,14,2,69,0.165,1.2,211733,3,2,2,2
2018,14,3,55,0.195,1.2,211733,3,2,2,3
2018,15,1,44,0.24,1.11,22673,1,2,2,0
2018,15,2,36,0.23,1.11,22673,1,2,2,0
2018,15,3,45,0.44,1.11,22673,1,2,2,1
2018,17,1,60,0,1.18,341580,1,2,1,2
2018,17,2,95,0,1.18,341580,1,2,1,1
2018,17,3,100,0,1.18,341580,1,2,1,0
2018,18,1,30,0,30.72,25054,3,2,2,0
2018,18,2,30,0,30.72,25054,3,2,2,0
2018,18,3,45,0,30.72,25054,3,2,2,0
2018,20,1,40,0.1,0.28,419687,3,1,2,0
2018,20,2,75,0.2,0.28,419687,3,1,2,2
2018,20,3,66,0.2,0.28,419687,3,1,2,0
2018,21,1,80,0.65,2.84,210478,3,2,2,2
2018,21,2,350,0.65,2.84,210478,3,2,2,4
2018,21,3,480,0.65,2.84,210478,3,2,2,15
2018,22,1,45,0.25,4.05,232936,2,1,1,10
2018,22,2,58,0.35,4.05,232936,2,1,1,12
2018,22,3,55,0.35,4.05,232936,2,1,1,5
2018,23,1,70,1.05,11.35,112178,1,2,1,7
2018,23,2,39,1,11.35,112178,1,2,1,4
2018,23,3,68,1.1,11.35,112178,1,2,1,9
2018,24,1,51,0,0.06,531330,3,2,1,0
2018,24,2,35,0,0.06,531330,3,2,1,0
2018,24,3,35,0,0.06,531330,3,2,1,1
2018,25,1,25,0.5,0.41,144948,2,2,1,5
2018,25,2,55,0.5,0.41,144948,2,2,1,8
2018,25,3,90,1,0.41,144948,2,2,1,1
2018,27,1,20,0,2.27,352407,1,2,2,0
2018,27,3,37,0,2.27,352407,1,2,2,0
2018,28,1,53,0.25,5.22,61631,1,1,1,0
2018,28,2,10,0,5.22,61631,1,1,1,0
2018,28,3,28,0.13,5.22,61631,1,1,1,0
2018,29,1,78,0.61,0.35,402799,2,1,1,6
2018,29,2,38,1.1,0.35,402799,2,1,1,1
2018,29,3,28,0.593,0.35,402799,2,1,1,1
2018,30,1,40,0,3.56,136032,1,2,2,0
2018,30,2,50,0,3.56,136032,1,2,2,0
2018,30,3,50,0,3.56,136032,1,2,2,0
2018,31,1,25,0.25,5.48,16906,1,2,1,1
2018,31,2,45,0.5,5.48,16906,1,2,1,1
2018,31,3,60,0.3,5.48,16906,1,2,1,1
2018,32,1,43,0.5,0.64,279255,1,2,2,0
2018,32,2,25,0.5,0.64,279255,1,2,2,0
2018,32,3,31,0.5,0.64,279255,1,2,2,0
2019,1,1,53,0,10.08,127613,3,2,2,4
2019,1,2,65,0,10.08,127613,3,2,2,3
2019,1,3,72,0,10.08,127613,3,2,2,2
2019,2,1,18,0.56,0.54,39446,1,2,1,1
2019,2,2,16,0.49,0.54,39446,1,2,1,0
2019,2,3,13,0.37,0.54,39446,1,2,1,0
2019,3,1,35,0,10.93,131907,3,2,1,0
2019,3,2,35,0,10.93,131907,3,2,1,0
2019,3,3,44,0,10.93,131907,3,2,1,0
2019,4,1,26,0,4.98,78864,3,1,1,0
2019,4,2,25,0,4.98,78864,3,1,1,0
2019,4,3,0,0,4.98,78864,3,1,1,0
2019,5,1,20,0,0.26,43107,2,2,1,0
2019,5,2,20,0,0.26,43107,2,2,1,1
2019,5,3,20,0,0.26,43107,2,2,1,0
2019,6,1,120,0,9.7,6097,1,2,2,0
2019,6,3,20,0,9.7,6097,1,2,2,0
2019,8,1,50,0.25,4.24,134394,1,2,2,0
2019,8,2,46,0.25,4.24,134394,1,2,2,4
2019,8,3,35,0.5,4.24,134394,1,2,2,6
2019,10,1,71,1.25,17.05,151721,3,1,1,2
2019,10,2,79,1.25,17.05,151721,3,1,1,0
2019,10,3,65,1.25,17.05,151721,3,1,1,0
2019,11,1,90,0.25,2.28,14454,1,2,2,2
2019,11,2,30,0.25,2.28,14454,1,2,2,0
2019,11,3,30,0.25,2.28,14454,1,2,2,2
2019,12,1,57,0.66,4.84,21934,3,2,1,0
2019,12,2,65,0.68,4.84,21934,3,2,1,0
2019,12,3,57,0.68,4.84,21934,3,2,1,0
2019,13,1,30,0,1.38,75577,1,2,1,2
2019,13,2,30,0,1.38,75577,1,2,1,0
2019,13,3,30,0,1.38,75577,1,2,1,1
2019,14,1,53,0.2,1.2,211733,3,2,2,2
2019,14,2,75,0.42,1.2,211733,3,2,2,3
2019,14,3,68,0.45,1.2,211733,3,2,2,1
2019,15,1,29,0.25,1.11,22673,1,2,2,2
2019,15,2,30,0.25,1.11,22673,1,2,2,1
2019,15,3,34,0.25,1.11,22673,1,2,2,0
2019,17,1,75,0,1.18,341580,1,2,1,1
2019,17,2,95,0,1.18,341580,1,2,1,0
2019,17,3,90,0,1.18,341580,1,2,1,0
2019,18,1,30,0,30.72,25054,3,2,2,0
2019,18,2,30,0,30.72,25054,3,2,2,0
2019,18,3,30,0,30.72,25054,3,2,2,0
2019,19,1,225,1.18,1.22,85825,3,1,2,14
2019,19,2,30,1.18,1.22,85825,3,1,2,3
2019,20,1,63,0.1,0.28,419687,3,1,2,0
2019,20,2,89,0.1,0.28,419687,3,1,2,1
2019,20,3,41,0.1,0.28,419687,3,1,2,0
2019,21,1,75,0.65,2.84,210478,3,2,2,4
2019,21,2,300,0.65,2.84,210478,3,2,2,9
2019,22,1,69,1.2,4.05,232936,2,1,1,6
2019,22,2,57,1.2,4.05,232936,2,1,1,4
2019,22,3,60,1.2,4.05,232936,2,1,1,4
2019,23,1,57,1,11.35,112178,1,2,1,6
2019,23,2,74,1,11.35,112178,1,2,1,7
2019,23,3,40,1,11.35,112178,1,2,1,7
2019,24,2,22,0,0.06,531330,3,2,1,1
2019,24,3,42,0,0.06,531330,3,2,1,1
2019,25,1,30,0.25,0.41,144948,2,2,1,0
2019,25,2,37,0.25,0.41,144948,2,2,1,0
2019,25,3,39,0.25,0.41,144948,2,2,1,0
2019,27,1,35,0.25,2.27,352407,1,2,2,0
2019,27,2,68,0.25,2.27,352407,1,2,2,0
2019,27,3,32,0.25,2.27,352407,1,2,2,0
2019,28,1,45,1,5.22,61631,1,1,1,0
2019,28,2,75,1,5.22,61631,1,1,1,0
2019,28,3,31,1,5.22,61631,1,1,1,0
2019,29,1,55,0.5,0.35,402799,2,1,1,0
2019,29,2,70,0.5,0.35,402799,2,1,1,1
2019,29,3,50,0.5,0.35,402799,2,1,1,2
2019,30,1,45,0,3.56,136032,1,2,2,0
2019,30,2,30,0,3.56,136032,1,2,2,0
2019,30,3,25,0,3.56,136032,1,2,2,0
2019,31,1,31,1,5.48,16906,1,2,1,0
2019,31,2,35,0.5,5.48,16906,1,2,1,0
2019,31,3,40,0,5.48,16906,1,2,1,1
2019,32,1,20,1,0.64,279255,1,2,2,0
2019,32,2,20,1,0.64,279255,1,2,2,2
2019,32,3,30,1,0.64,279255,1,2,2,2
2020,1,1,70,0.5,10.08,127613,3,2,2,3
2020,1,2,62,0.5,10.08,127613,3,2,2,7
2020,1,3,63,0.5,10.08,127613,3,2,2,5
2020,2,1,60,0.55,0.54,39446,1,2,1,0
2020,2,2,29,0.62,0.54,39446,1,2,1,0
2020,2,3,23,0.55,0.54,39446,1,2,1,0
2020,3,1,40,0,10.93,131907,3,2,1,0
2020,3,2,40,0,10.93,131907,3,2,1,0
2020,3,3,20,0,10.93,131907,3,2,1,0
2020,4,1,30,0,4.98,78864,3,1,1,0
2020,4,2,42,0,4.98,78864,3,1,1,0
2020,4,3,32,0,4.98,78864,3,1,1,0
2020,5,1,20,0,0.26,43107,2,2,1,0
2020,6,1,20,0,9.7,6097,1,2,2,0
2020,6,2,20,0,9.7,6097,1,2,2,0
2020,6,3,20,0,9.7,6097,1,2,2,1
2020,7,1,85,1.41,0.45,371687,2,2,1,10
2020,7,2,24,3.04,0.45,371687,2,2,1,3
2020,8,1,50,0.5,4.24,134394,1,2,2,0
2020,8,3,32,0,4.24,134394,1,2,2,0
2020,9,1,150,1.09,0.73,415445,3,2,2,3
2020,9,2,435,1.09,0.73,415445,3,2,2,7
2020,9,3,410,1.09,0.73,415445,3,2,2,8
2020,10,1,80,1,17.05,151721,3,1,1,3
2020,10,2,90,1,17.05,151721,3,1,1,2
2020,10,3,90,1,17.05,151721,3,1,1,1
2020,11,1,30,0,2.28,14454,1,2,2,1
2020,11,2,20,0,2.28,14454,1,2,2,0
2020,11,3,30,0,2.28,14454,1,2,2,0
2020,12,1,37,0.42,4.84,21934,3,2,1,0
2020,12,2,38,0.36,4.84,21934,3,2,1,0
2020,12,3,30,0.37,4.84,21934,3,2,1,0
2020,13,1,20,0,1.38,75577,1,2,1,0
2020,13,2,30,0,1.38,75577,1,2,1,0
2020,13,3,30,0,1.38,75577,1,2,1,0
2020,14,1,32,0.34,1.2,211733,3,2,2,1
2020,14,2,60,0.34,1.2,211733,3,2,2,2
2020,14,3,51,0.38,1.2,211733,3,2,2,1
2020,15,1,27,0.25,1.11,22673,1,2,2,2
2020,15,2,45,0.25,1.11,22673,1,2,2,0
2020,15,3,37,0.25,1.11,22673,1,2,2,2
2020,16,2,45,0,0.39,12745,1,2,2,2
2020,16,3,120,0,0.39,12745,1,2,2,2
2020,17,1,90,0,1.18,341580,1,2,1,2
2020,17,2,110,0,1.18,341580,1,2,1,1
2020,17,3,100,0,1.18,341580,1,2,1,1
2020,18,2,30,0,30.72,25054,3,2,2,0
2020,18,3,30,0,30.72,25054,3,2,2,0
2020,19,1,54,1.18,1.22,85825,3,1,2,4
2020,19,2,110,1.18,1.22,85825,3,1,2,4
2020,20,1,75,0.2,0.28,419687,3,1,2,0
2020,20,2,60,0.2,0.28,419687,3,1,2,0
2020,20,3,75,0.2,0.28,419687,3,1,2,1
2020,21,1,25,0,2.84,210478,3,2,2,0
2020,21,2,25,0,2.84,210478,3,2,2,1
2020,21,3,30,0,2.84,210478,3,2,2,0
2020,22,1,55,0.5,4.05,232936,2,1,1,3
2020,22,2,62,0.5,4.05,232936,2,1,1,5
2020,22,3,58,0.5,4.05,232936,2,1,1,3
2020,23,1,35,0.25,11.35,112178,1,2,1,6
2020,23,2,20,0.25,11.35,112178,1,2,1,3
2020,23,3,30,0.25,11.35,112178,1,2,1,9
2020,24,1,41,0,0.06,531330,3,2,1,1
2020,24,2,54,0,0.06,531330,3,2,1,0
2020,24,3,35,0,0.06,531330,3,2,1,1
2020,25,1,60,1,0.41,144948,2,2,1,0
2020,25,2,60,1,0.41,144948,2,2,1,0
2020,25,3,60,1,0.41,144948,2,2,1,0
2020,27,1,32,0.25,2.27,352407,1,2,2,0
2020,27,2,92,0.25,2.27,352407,1,2,2,0
2020,27,3,51,1.75,2.27,352407,1,2,2,0
2020,28,1,35,0.33,5.22,61631,1,1,1,0
2020,28,2,35,0.75,5.22,61631,1,1,1,0
2020,28,3,32,0.75,5.22,61631,1,1,1,0
2020,29,1,45,0.5,0.35,402799,2,1,1,1
2020,29,2,25,0.5,0.35,402799,2,1,1,0
2020,29,3,35,0.5,0.35,402799,2,1,1,0
2020,30,1,30,0,3.56,136032,1,2,2,1
2020,30,2,30,0,3.56,136032,1,2,2,0
2020,30,3,45,0,3.56,136032,1,2,2,1
2020,31,1,70,0.33,5.48,16906,1,2,1,0
2020,31,2,80,0.33,5.48,16906,1,2,1,0
2020,31,3,90,0.33,5.48,16906,1,2,1,0
2020,32,1,20,0.5,0.64,279255,1,2,2,0
2020,32,2,20,0.5,0.64,279255,1,2,2,0
2020,32,3,30,0.5,0.64,279255,1,2,2,2
2021,1,1,58,1,10.08,127613,3,2,2,4
2021,1,2,59,1,10.08,127613,3,2,2,2
2021,1,3,56,1,10.08,127613,3,2,2,0
2021,2,1,25,0.38,0.54,39446,1,2,1,0
2021,2,2,40,0.46,0.54,39446,1,2,1,0
2021,2,3,22,0.42,0.54,39446,1,2,1,0
2021,3,1,35,0,10.93,131907,3,2,1,0
2021,3,2,46,0,10.93,131907,3,2,1,0
2021,3,3,25,0,10.93,131907,3,2,1,0
2021,4,1,32,0,4.98,78864,3,1,1,0
2021,4,2,31,0,4.98,78864,3,1,1,0
2021,4,3,31,0,4.98,78864,3,1,1,0
2021,5,1,30,0,0.26,43107,2,2,1,2
2021,5,2,20,0,0.26,43107,2,2,1,0
2021,5,3,30,0,0.26,43107,2,2,1,0
2021,6,2,75,0,9.7,6097,1,2,2,1
2021,6,3,40,0,9.7,6097,1,2,2,0
2021,7,1,103,3.04,0.45,371687,2,2,1,9
2021,7,3,30,3.04,0.45,371687,2,2,1,2
2021,8,1,25,1,4.24,134394,1,2,2,3
2021,8,2,24,0,4.24,134394,1,2,2,0
2021,8,3,79,0,4.24,134394,1,2,2,2
2021,9,2,58,1.09,0.73,415445,3,2,2,0
2021,10,1,84,0.8,17.05,151721,3,1,1,2
2021,10,2,81,0.8,17.05,151721,3,1,1,0
2021,10,3,75,0.8,17.05,151721,3,1,1,2
2021,11,1,30,0,2.28,14454,1,2,2,0
2021,11,2,25,0,2.28,14454,1,2,2,0
2021,11,3,30,0,2.28,14454,1,2,2,0
2021,12,1,34,0.34,4.84,21934,3,2,1,0
2021,12,2,35,0.38,4.84,21934,3,2,1,0
2021,12,3,30,0.37,4.84,21934,3,2,1,0
2021,13,1,30,0,1.38,75577,1,2,1,1
2021,13,2,30,0,1.38,75577,1,2,1,1
2021,13,3,30,0,1.38,75577,1,2,1,0
2021,14,1,14,0,1.2,211733,3,2,2,2
2021,14,2,23,0,1.2,211733,3,2,2,1
2021,14,3,21,0,1.2,211733,3,2,2,2
2021,15,1,26,0.25,1.11,22673,1,2,2,0
2021,15,2,26,0.25,1.11,22673,1,2,2,0
2021,15,3,27,0.25,1.11,22673,1,2,2,0
2021,16,1,15,0,0.39,12745,1,2,2,0
2021,16,2,64,0,0.39,12745,1,2,2,2
2021,16,3,125,0,0.39,12745,1,2,2,4
2021,17,1,90,0,1.18,341580,1,2,1,0
2021,17,2,90,0,1.18,341580,1,2,1,0
2021,17,3,90,0,1.18,341580,1,2,1,0
2021,18,2,20,0,30.72,25054,3,2,2,0
2021,18,3,30,0,30.72,25054,3,2,2,0
2021,19,1,90,1.18,1.22,85825,3,1,2,18
2021,19,2,180,1.18,1.22,85825,3,1,2,8
2021,20,1,41,0.73,0.28,419687,3,1,2,2
2021,20,2,34,0.58,0.28,419687,3,1,2,1
2021,20,3,25,0.5,0.28,419687,3,1,2,1
2021,21,1,30,0,2.84,210478,3,2,2,1
2021,21,2,30,0,2.84,210478,3,2,2,1
2021,21,3,42,0,2.84,210478,3,2,2,1
2021,22,1,62,1,4.05,232936,2,1,1,0
2021,22,2,41,1,4.05,232936,2,1,1,0
2021,22,3,50,1,4.05,232936,2,1,1,0
2021,23,1,45,1,11.35,112178,1,2,1,12
2021,23,2,59,1,11.35,112178,1,2,1,10
